code,name_en,sector_33,sector_17
3912,"Mobile Factory,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
3913,"GreenBee,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
3914,JIG-SAW INC.,Information & Communication,"IT & SERVICES, OTHERS"
3915,"TerraSky Co.,Ltd",Information & Communication,"IT & SERVICES, OTHERS"
3916,Digital Information Technologies Corporation,Information & Communication,"IT & SERVICES, OTHERS"
3917,"iRidge,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
3918,"PCI Holdings,INC.",Information & Communication,"IT & SERVICES, OTHERS"
3920,"Internetworking and Broadband Consulting Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
3921,NEOJAPAN Inc.,Information & Communication,"IT & SERVICES, OTHERS"
3922,PR TIMES Corporation,Information & Communication,"IT & SERVICES, OTHERS"
3923,"RAKUS Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
3924,"R&D COMPUTER CO.,LTD.",Information & Communication,"IT & SERVICES, OTHERS"
3925,Double Standard Inc.,Information & Communication,"IT & SERVICES, OTHERS"
3926,Open Door Inc.,Information & Communication,"IT & SERVICES, OTHERS"
3927,Fuva Brain Limited,Information & Communication,"IT & SERVICES, OTHERS"
3928,Mynet Inc.,Information & Communication,"IT & SERVICES, OTHERS"
3929,"SOCIALWIRE CO.,LTD.",Information & Communication,"IT & SERVICES, OTHERS"
3930,"Hatena Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
3931,VALUE GOLF Inc.,Information & Communication,"IT & SERVICES, OTHERS"
3932,Akatsuki Inc.,Information & Communication,"IT & SERVICES, OTHERS"
3933,"CHIeru Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
3934,"BENEFIT JAPAN Co.,LTD.",Information & Communication,"IT & SERVICES, OTHERS"
3935,"Edia Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
3936,"Globalway,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
3937,"Ubicom Holdings,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
3939,"Kanamic Network Co.,LTD",Information & Communication,"IT & SERVICES, OTHERS"
393A,RitaX Inc.,Services,"IT & SERVICES, OTHERS"
3940,"Nomura System Corporation Co,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
3941,"Rengo Co.,Ltd.",Pulp and Paper,RAW MATERIALS & CHEMICALS
3943,"OHISHI SANGYO CO.,LTD.",Pulp and Paper,RAW MATERIALS & CHEMICALS
3944,"Furubayashi Shiko Co.,Ltd.",Pulp and Paper,RAW MATERIALS & CHEMICALS
3945,"Superbag Company,Limited",Pulp and Paper,RAW MATERIALS & CHEMICALS
3946,"TOMOKU CO.,LTD.",Pulp and Paper,RAW MATERIALS & CHEMICALS
3947,"Dynapac Co.,Ltd.",Pulp and Paper,RAW MATERIALS & CHEMICALS
3948,"HIKARI BUSINESS FORM CO.,LTD.",Pulp and Paper,RAW MATERIALS & CHEMICALS
3950,THE PACK CORPORATION,Pulp and Paper,RAW MATERIALS & CHEMICALS
3951,"ASAHI PRINTING CO.,LTD.",Pulp and Paper,RAW MATERIALS & CHEMICALS
3953,"OHMURA SHIGYO CO.,LTD.",Pulp and Paper,RAW MATERIALS & CHEMICALS
3954,SHOWA PAXXS CORPORATION,Pulp and Paper,RAW MATERIALS & CHEMICALS
3955,"IMURA & Co.,Ltd.",Pulp and Paper,RAW MATERIALS & CHEMICALS
3958,"Sasatoku Printing Co.,Ltd.",Pulp and Paper,RAW MATERIALS & CHEMICALS
3961,"Silver Egg Technology CO.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
3962,"CHANGE Holdings,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
3963,"Synchro Food Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
3964,AUCNET INC.,Information & Communication,"IT & SERVICES, OTHERS"
3965,"Capital Asset Planning,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
3967,"Eltes Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
3968,"Segue Group Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
3969,ATLED CORP.,Information & Communication,"IT & SERVICES, OTHERS"
3970,Innovation Inc.,Information & Communication,"IT & SERVICES, OTHERS"
3974,SCAT Inc.,Information & Communication,"IT & SERVICES, OTHERS"
3976,SHANON Inc.,Information & Communication,"IT & SERVICES, OTHERS"
3979,"ULURU.CO.,LTD.",Information & Communication,"IT & SERVICES, OTHERS"
3981,Beaglee Inc.,Information & Communication,"IT & SERVICES, OTHERS"
3983,"ORO Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
3984,"User Local,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
3985,TEMONA.inc.,Information & Communication,"IT & SERVICES, OTHERS"
3986,"bBreak Systems Company,Limited",Information & Communication,"IT & SERVICES, OTHERS"
3987,Ecomott Inc.,Information & Communication,"IT & SERVICES, OTHERS"
3988,"SYS Holdings Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
3989,SHARINGTECHNOLOGY.INC,Information & Communication,"IT & SERVICES, OTHERS"
398A,"REAL Quality Co.,Ltd.",Services,"IT & SERVICES, OTHERS"
3991,"Wantedly,Inc",Information & Communication,"IT & SERVICES, OTHERS"
3992,Needs Well Inc.,Information & Communication,"IT & SERVICES, OTHERS"
3993,PKSHA Technology Inc.,Information & Communication,"IT & SERVICES, OTHERS"
3994,"Money Forward,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
3996,Signpost Corporation,Information & Communication,"IT & SERVICES, OTHERS"
3997,"TRADE WORKS Co.,Ltd",Information & Communication,"IT & SERVICES, OTHERS"
3998,"SuRaLa Net Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
4004,Resonac Holdings Corporation,Chemicals,RAW MATERIALS & CHEMICALS
4005,"SUMITOMO CHEMICAL COMPANY,LIMITED",Chemicals,RAW MATERIALS & CHEMICALS
4008,"Sumitomo Seika Chemicals Company,Limited.",Chemicals,RAW MATERIALS & CHEMICALS
4011,"Headwaters Co.,Ltd",Information & Communication,"IT & SERVICES, OTHERS"
4012,"AXIS CO.,LTD.",Information & Communication,"IT & SERVICES, OTHERS"
4013,"Kinjiro Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
4014,"KARADANOTE,INC.",Information & Communication,"IT & SERVICES, OTHERS"
4015,Paycloud Holdings Inc.,Information & Communication,"IT & SERVICES, OTHERS"
4016,"MIT Holdings CO.,LTD.",Information & Communication,"IT & SERVICES, OTHERS"
4017,CREEMA LTD.,Information & Communication,"IT & SERVICES, OTHERS"
4019,"Stmn,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
4020,BETREND CORPORATION,Information & Communication,"IT & SERVICES, OTHERS"
4021,Nissan Chemical Corporation,Chemicals,RAW MATERIALS & CHEMICALS
4022,"Rasa Industries,Ltd.",Chemicals,RAW MATERIALS & CHEMICALS
4023,KUREHA CORPORATION,Chemicals,RAW MATERIALS & CHEMICALS
4025,"TAKI CHEMICAL CO.,LTD.",Chemicals,RAW MATERIALS & CHEMICALS
4026,"Konoshima Chemical Co.,Ltd.",Glass and Ceramics Products,CONSTRUCTION & MATERIALS
4027,TAYCA CORPORATION,Chemicals,RAW MATERIALS & CHEMICALS
4028,"ISHIHARA SANGYO KAISHA,LTD.",Chemicals,RAW MATERIALS & CHEMICALS
402A,Axelspace Holdings Corporation,Transportation Equipment,AUTOMOBILES & TRANSPORTATION EQUIPMENT
4031,Katakura & Co-op Agri Corporation,Chemicals,RAW MATERIALS & CHEMICALS
403A,HOJYOGUMI.Co.Ltd,Construction,CONSTRUCTION & MATERIALS
4040,"NANKAI CHEMICAL COMPANY,LIMITED",Chemicals,RAW MATERIALS & CHEMICALS
4041,"Nippon Soda Co.,Ltd.",Chemicals,RAW MATERIALS & CHEMICALS
4042,TOSOH CORPORATION,Chemicals,RAW MATERIALS & CHEMICALS
4043,Tokuyama Corporation,Chemicals,RAW MATERIALS & CHEMICALS
4044,"Central Glass Co.,Ltd.",Chemicals,RAW MATERIALS & CHEMICALS
4045,"TOAGOSEI CO.,LTD.",Chemicals,RAW MATERIALS & CHEMICALS
4046,"OSAKA SODA CO.,LTD.",Chemicals,RAW MATERIALS & CHEMICALS
4047,"KANTO DENKA KOGYO CO.,LTD.",Chemicals,RAW MATERIALS & CHEMICALS
4051,"GMO Financial Gate,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
4052,Ficha Inc.,Information & Communication,"IT & SERVICES, OTHERS"
4053,Sun* Inc.,Information & Communication,"IT & SERVICES, OTHERS"
4054,"Japan PropTech Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
4055,T&S Group Inc.,Information & Communication,"IT & SERVICES, OTHERS"
4056,Neural Group Inc.,Information & Communication,"IT & SERVICES, OTHERS"
4057,"Interfactory,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
4058,"Toyokumo,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
4059,"Magmag,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
405A,"Koyama Miraie Co.,Ltd",Wholesale Trade,COMMERCIAL & WHOLESALE TRADE
4060,rakumo Inc.,Information & Communication,"IT & SERVICES, OTHERS"
4061,Denka Company Limited,Chemicals,RAW MATERIALS & CHEMICALS
4062,"IBIDEN CO.,LTD.",Electric Appliances,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS
4063,"Shin-Etsu Chemical Co.,Ltd.",Chemicals,RAW MATERIALS & CHEMICALS
4064,"Nippon Carbide Industries Company,Incorporated",Chemicals,RAW MATERIALS & CHEMICALS
4068,Basis Corporation,Information & Communication,"IT & SERVICES, OTHERS"
4069,BlueMeme Inc.,Information & Communication,"IT & SERVICES, OTHERS"
406A,KANKYOU NO MIKATA Holdings Inc.,Services,"IT & SERVICES, OTHERS"
4071,"Plus Alpha Consulting Co.,LTD.",Information & Communication,"IT & SERVICES, OTHERS"
4072,"Densan System Holdings Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
4073,"Global Communication Planning Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
4074,"LaKeel,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
4075,"Brains Technology,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
4076,"CNS Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
4078,"Sakai Chemical Industry Co.,Ltd.",Chemicals,RAW MATERIALS & CHEMICALS
407A,"UNICON Holdings Co.,Ltd.",Construction,CONSTRUCTION & MATERIALS
4082,"DAIICHI KIGENSO KAGAKU-KOGYO CO.,LTD",Chemicals,RAW MATERIALS & CHEMICALS
4088,AIR WATER INC.,Chemicals,RAW MATERIALS & CHEMICALS
4091,NIPPON SANSO HOLDINGS CORPORATION,Chemicals,RAW MATERIALS & CHEMICALS
4092,"Nippon Chemical Industrial Co.,Ltd.",Chemicals,RAW MATERIALS & CHEMICALS
4093,"Toho Acetylene Co.,Ltd.",Chemicals,RAW MATERIALS & CHEMICALS
4094,"NIHON KAGAKU SANGYO CO.,LTD.",Chemicals,RAW MATERIALS & CHEMICALS
4095,"NIHON PARKERIZING CO.,LTD.",Chemicals,RAW MATERIALS & CHEMICALS
4097,"KOATSU GAS KOGYO CO.,LTD.",Chemicals,RAW MATERIALS & CHEMICALS
4098,"Titan Kogyo ,Ltd.",Chemicals,RAW MATERIALS & CHEMICALS
4099,SHIKOKU KASEI HOLDINGS CORPORATION,Chemicals,RAW MATERIALS & CHEMICALS
409A,"ORION BREWERIES,LTD.",Foods,FOODS
4100,TODA KOGYO CORP.,Chemicals,RAW MATERIALS & CHEMICALS
4102,"Maruo Calcium Co.,Ltd.",Chemicals,RAW MATERIALS & CHEMICALS
4107,ISE CHEMICALS CORPORATION,Chemicals,RAW MATERIALS & CHEMICALS
4109,STELLA CHEMIFA CORPORATION,Chemicals,RAW MATERIALS & CHEMICALS
410A,"GMO Commerce,Inc.",Services,"IT & SERVICES, OTHERS"
4112,"Hodogaya Chemical Co.,Ltd.",Chemicals,RAW MATERIALS & CHEMICALS
4113,"TAOKA CHEMICAL COMPANY,LIMITED",Chemicals,RAW MATERIALS & CHEMICALS
4114,"NIPPON SHOKUBAI CO.,LTD.",Chemicals,RAW MATERIALS & CHEMICALS
4116,"Dainichiseika Color & Chemicals Mfg.Co.,Ltd.",Chemicals,RAW MATERIALS & CHEMICALS
4118,KANEKA CORPORATION,Chemicals,RAW MATERIALS & CHEMICALS
4119,Nippon Pigment Holdings Company Limited,Chemicals,RAW MATERIALS & CHEMICALS
411A,"Nippon Maritime Bank Co.,Ltd.",Other Financing Business,FINANCIALS (EX BANKS)
4120,"SUGAI CHEMICAL INDUSTRY CO.,LTD.",Chemicals,RAW MATERIALS & CHEMICALS
4124,OSAKA YUKA INDUSTRY LTD.,Chemicals,RAW MATERIALS & CHEMICALS
4125,SANWAYUKA INDUSTRY CORPORATION,Chemicals,RAW MATERIALS & CHEMICALS
414A,"OVERLAP Holdings,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
4151,"Kyowa Kirin Co.,Ltd.",Pharmaceutical,PHARMACEUTICAL
415A,"GMO TECH Holdings,Inc.",Services,"IT & SERVICES, OTHERS"
4165,"PLAID,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
4166,Cacco Inc.,Information & Communication,"IT & SERVICES, OTHERS"
4167,Kokopelli Inc.,Information & Communication,"IT & SERVICES, OTHERS"
4168,"Yappli,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
4169,ENECHANGE Ltd.,Information & Communication,"IT & SERVICES, OTHERS"
416A,"FUJI UNITED HOLDINGS COMPANY,LTD.",Wholesale Trade,COMMERCIAL & WHOLESALE TRADE
4170,"Kaizen Platform,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
4171,"Global Information,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
4172,"Hi-CRATES CO.,LTD.",Information & Communication,"IT & SERVICES, OTHERS"
4174,Appirits Inc.,Information & Communication,"IT & SERVICES, OTHERS"
4175,coly Inc.,Information & Communication,"IT & SERVICES, OTHERS"
4176,coconala Inc.,Information & Communication,"IT & SERVICES, OTHERS"
4177,"i-plug,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
4178,Sharing Innovations Inc.,Information & Communication,"IT & SERVICES, OTHERS"
4179,G-NEXT Inc.,Information & Communication,"IT & SERVICES, OTHERS"
417A,"BLUE ZONES HOLDINGS CO.,LTD.",Retail Trade,RETAIL TRADE
4180,"Appier Group,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
4182,"Mitsubishi Gas Chemical Company,Inc.",Chemicals,RAW MATERIALS & CHEMICALS
4183,"Mitsui Chemicals,Inc.",Chemicals,RAW MATERIALS & CHEMICALS
4186,"TOKYO OHKA KOGYO CO.,LTD.",Chemicals,RAW MATERIALS & CHEMICALS
4187,OSAKA ORGANIC CHEMICAL INDUSTRY LTD.,Chemicals,RAW MATERIALS & CHEMICALS
4188,Mitsubishi Chemical Group Corporation,Chemicals,RAW MATERIALS & CHEMICALS
4189,"KH Neochem Co.,Ltd.",Chemicals,RAW MATERIALS & CHEMICALS
4192,SpiderPlus & Co.,Information & Communication,"IT & SERVICES, OTHERS"
4193,"Fabrica Holdings Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
4194,"Visional,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
4196,NEO MARKETING Inc.,Information & Communication,"IT & SERVICES, OTHERS"
4197,"ASMARQ Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
4198,"TENDA Co.,LTD.",Information & Communication,"IT & SERVICES, OTHERS"
4199,WonderPlanet Inc.,Information & Communication,"IT & SERVICES, OTHERS"
419A,Runglobe Inc.,Retail Trade,RETAIL TRADE
4202,Daicel Corporation,Chemicals,RAW MATERIALS & CHEMICALS
4203,"Sumitomo Bakelite Company,Limited",Chemicals,RAW MATERIALS & CHEMICALS
4204,"Sekisui Chemical Co.,Ltd.",Chemicals,RAW MATERIALS & CHEMICALS
4205,ZEON CORPORATION,Chemicals,RAW MATERIALS & CHEMICALS
4206,"Aica Kogyo Company,Limited",Chemicals,RAW MATERIALS & CHEMICALS
4208,UBE Corporation,Chemicals,RAW MATERIALS & CHEMICALS
4212,Sekisui Jushi Corporation,Chemicals,RAW MATERIALS & CHEMICALS
4216,ASAHI YUKIZAI CORPORATION,Chemicals,RAW MATERIALS & CHEMICALS
4218,"NICHIBAN CO.,LTD.",Chemicals,RAW MATERIALS & CHEMICALS
421A,"Movin' Strategic Career CO.,LTD.",Services,"IT & SERVICES, OTHERS"
4220,RIKEN TECHNOS CORPORATION,Chemicals,RAW MATERIALS & CHEMICALS
4221,"Okura Industrial Co.,Ltd.",Chemicals,RAW MATERIALS & CHEMICALS
4222,"KODAMA CHEMICAL INDUSTRY CO.,LTD.",Chemicals,RAW MATERIALS & CHEMICALS
4224,LONSEAL CORPORATION,Chemicals,RAW MATERIALS & CHEMICALS
4228,"Sekisui Kasei Co.,Ltd.",Chemicals,RAW MATERIALS & CHEMICALS
4229,"Gun Ei Chemical Industry Co.,Ltd.",Chemicals,RAW MATERIALS & CHEMICALS
422A,"tane CREATIVE CO.,LTD.",Information & Communication,"IT & SERVICES, OTHERS"
4231,TIGERS POLYMER CORPORATION,Chemicals,RAW MATERIALS & CHEMICALS
4234,"Sun A.Kaken Company,Limited",Chemicals,RAW MATERIALS & CHEMICALS
4235,"Ultrafabrics Holdings Co.,Ltd.",Chemicals,RAW MATERIALS & CHEMICALS
4237,Fujipream Corporation,Chemicals,RAW MATERIALS & CHEMICALS
4238,"Miraial Co.,Ltd.",Chemicals,RAW MATERIALS & CHEMICALS
423A,LION OFFICE PRODUCTS CORP.,Wholesale Trade,COMMERCIAL & WHOLESALE TRADE
4240,"CLUSTER TECHNOLOGY CO.,LTD.",Chemicals,RAW MATERIALS & CHEMICALS
4241,atect corporation,Chemicals,RAW MATERIALS & CHEMICALS
4242,TAKAGI SEIKO CORPORATION,Chemicals,RAW MATERIALS & CHEMICALS
4243,"NIX,INC.",Chemicals,RAW MATERIALS & CHEMICALS
4245,"Daiki Axis Co.,Ltd.",Chemicals,RAW MATERIALS & CHEMICALS
4246,DaikyoNishikawa Corporation,Chemicals,RAW MATERIALS & CHEMICALS
4247,"POVAL KOGYO CO.,LTD.",Chemicals,RAW MATERIALS & CHEMICALS
4248,"Takemoto Yohki Co.,Ltd.",Chemicals,RAW MATERIALS & CHEMICALS
4249,"MORIROKU COMPANY,LTD.",Chemicals,RAW MATERIALS & CHEMICALS
4251,KEIWA Incorporated,Chemicals,RAW MATERIALS & CHEMICALS
4255,THECOO Inc.,Information & Communication,"IT & SERVICES, OTHERS"
4256,"CYND Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
4258,AMIYA Corporation,Information & Communication,"IT & SERVICES, OTHERS"
4259,ExaWizards Inc.,Information & Communication,"IT & SERVICES, OTHERS"
4260,"Hybrid Technologies Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
4261,"AsiaQuest Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
4262,"NIFTY Lifestyle Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
4263,"SUSMED,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
4264,"SECURE,INC.",Information & Communication,"IT & SERVICES, OTHERS"
4265,Institution for a Global Society Corporation,Information & Communication,"IT & SERVICES, OTHERS"
4270,BeeX Inc.,Information & Communication,"IT & SERVICES, OTHERS"
4272,"NIPPON KAYAKU CO.,LTD.",Chemicals,RAW MATERIALS & CHEMICALS
4274,"HOSOYA PYRO-ENGINEERING CO.,LTD.",Chemicals,RAW MATERIALS & CHEMICALS
4275,"Carlit Co.,Ltd.",Chemicals,RAW MATERIALS & CHEMICALS
4284,"SOLXYZ Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
4286,CL Holdings Inc.,Services,"IT & SERVICES, OTHERS"
4287,JUST PLANNING INC.,Information & Communication,"IT & SERVICES, OTHERS"
4288,"Asgent,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
428A,"Cypress Holdings Co.,Ltd.",Retail Trade,RETAIL TRADE
4290,Prestige International Inc.,Services,"IT & SERVICES, OTHERS"
4293,"SEPTENI HOLDINGS CO.,LTD.",Services,"IT & SERVICES, OTHERS"
4299,"HIMACS,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
429A,Tekscend Photomask Corp.,Other Products,"IT & SERVICES, OTHERS"
4301,AMUSE INC.,Services,"IT & SERVICES, OTHERS"
4307,"Nomura Research Institute,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
4308,J-Stream Inc.,Information & Communication,"IT & SERVICES, OTHERS"
430A,"Next Hands Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
4310,Dream Incubator Inc.,Services,"IT & SERVICES, OTHERS"
4316,"BeMap,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
4317,Ray Corporation,Services,"IT & SERVICES, OTHERS"
4318,"QUICK CO.,LTD.",Services,"IT & SERVICES, OTHERS"
431A,"uSonar Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
4320,"CE Holdings Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
4323,"Japan System Techniques Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
4324,DENTSU GROUP INC.,Services,"IT & SERVICES, OTHERS"
4326,INTAGE HOLDINGS Inc.,Information & Communication,"IT & SERVICES, OTHERS"
432A,cliniphar Ltd.,Wholesale Trade,COMMERCIAL & WHOLESALE TRADE
4331,"TAKE AND GIVE. NEEDS Co.,Ltd.",Services,"IT & SERVICES, OTHERS"
4333,"TOHO SYSTEM SCIENCE CO.,LTD.",Information & Communication,"IT & SERVICES, OTHERS"
4334,"YUKE'S Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
4335,"IPS HOLDINGS CO.,LTD.",Information & Communication,"IT & SERVICES, OTHERS"
4337,PIA CORPORATION,Services,"IT & SERVICES, OTHERS"
433A,MJE Inc.,Wholesale Trade,COMMERCIAL & WHOLESALE TRADE
4341,SEIRYO ELECTRIC CORPORATION,Services,"IT & SERVICES, OTHERS"
4343,"AEON Fantasy Co.,LTD.",Services,"IT & SERVICES, OTHERS"
4344,SOURCENEXT CORPORATION,Information & Communication,"IT & SERVICES, OTHERS"
4345,"CTS Co.,Ltd.",Services,"IT & SERVICES, OTHERS"
4346,NEXYZ.Group Corporation,Other Financing Business,FINANCIALS (EX BANKS)
4347,Broadmedia Corporation,Services,"IT & SERVICES, OTHERS"
434A,LOOPLACE INC.,Real Estate,REAL ESTATE
4350,"MEDICAL SYSTEM NETWORK Co.,Ltd.",Retail Trade,RETAIL TRADE
4351,YAMADA SERVICER SYNTHETIC OFFICE,Other Financing Business,FINANCIALS (EX BANKS)
4356,"APPLIED TECHNOLOGY CO.,LTD.",Information & Communication,"IT & SERVICES, OTHERS"
4360,"MANAC Chemical Partners Co.,Ltd",Chemicals,RAW MATERIALS & CHEMICALS
4361,"KAWAGUCHI CHEMICAL INDUSTRY CO.,LTD.",Chemicals,RAW MATERIALS & CHEMICALS
4362,"Nippon Fine Chemical Co.,Ltd.",Chemicals,RAW MATERIALS & CHEMICALS
4365,"MATSUMOTO YUSHI-SEIYAKU CO.,LTD.",Chemicals,RAW MATERIALS & CHEMICALS
4366,Daito Chemix Corporation,Chemicals,RAW MATERIALS & CHEMICALS
4367,"KOEI CHEMICAL COMPANY,LIMITED",Chemicals,RAW MATERIALS & CHEMICALS
4368,"FUSO CHEMICAL CO.,LTD.",Chemicals,RAW MATERIALS & CHEMICALS
4369,Tri Chemical Laboratories Inc.,Chemicals,RAW MATERIALS & CHEMICALS
436A,CyberSolutions Inc.,Information & Communication,"IT & SERVICES, OTHERS"
4370,Mobilus Corporation,Information & Communication,"IT & SERVICES, OTHERS"
4371,Core Concept Technologies Inc.,Information & Communication,"IT & SERVICES, OTHERS"
4372,"YMIRLINK,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
4373,"Simplex Holdings,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
4374,ROBOT PAYMENT INC.,Information & Communication,"IT & SERVICES, OTHERS"
4375,Safie Inc.,Information & Communication,"IT & SERVICES, OTHERS"
4376,Kufu Company Holdings Inc.,Information & Communication,"IT & SERVICES, OTHERS"
4377,ONE CAREER Inc.,Information & Communication,"IT & SERVICES, OTHERS"
4378,CINC Corp.,Information & Communication,"IT & SERVICES, OTHERS"
4379,Photosynth inc.,Information & Communication,"IT & SERVICES, OTHERS"
437A,"Jwave Co.,Ltd",Services,"IT & SERVICES, OTHERS"
4380,M - mart Inc.,Information & Communication,"IT & SERVICES, OTHERS"
4381,"BPLATS,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
4382,"HEROZ,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
4384,RAKSUL INC.,Information & Communication,"IT & SERVICES, OTHERS"
4385,"Mercari,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
4386,"SIG Group Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
4387,"ZUU Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
4388,"AI,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
4389,"Property Data Bank,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
438A,"Infcurion,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
4390,"IPS,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
4391,"Logizard Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
4392,"Future Innovation Group,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
4393,"Bank of Innovation,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
4394,"eXmotion Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
4395,Accrete Inc.,Information & Communication,"IT & SERVICES, OTHERS"
4396,System Support Holdings Inc.,Information & Communication,"IT & SERVICES, OTHERS"
4397,TeamSpirit Inc.,Information & Communication,"IT & SERVICES, OTHERS"
4398,"BroadBand Security,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
439A,ACTBE Inc.,Information & Communication,"IT & SERVICES, OTHERS"
4401,ADEKA CORPORATION,Chemicals,RAW MATERIALS & CHEMICALS
4403,NOF CORPORATION,Chemicals,RAW MATERIALS & CHEMICALS
4404,"Miyoshi Oil & Fat Co.,Ltd.",Foods,FOODS
4406,"New Japan Chemical Co.,Ltd.",Chemicals,RAW MATERIALS & CHEMICALS
4409,"TOHO CHEMICAL INDUSTRY COMPANY,LIMITED",Chemicals,RAW MATERIALS & CHEMICALS
4410,"HARIMA CHEMICALS GROUP,INC.",Chemicals,RAW MATERIALS & CHEMICALS
4412,"Science Arts,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
4413,"baudroie,inc.",Information & Communication,"IT & SERVICES, OTHERS"
4414,"FLECT Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
4415,"BROAD ENTERPRISE CO.,LTD.",Information & Communication,"IT & SERVICES, OTHERS"
4416,True Data Inc.,Information & Communication,"IT & SERVICES, OTHERS"
4417,Global Security Experts Inc.,Information & Communication,"IT & SERVICES, OTHERS"
4418,Japan Data Science Consortium Co.Ltd.,Information & Communication,"IT & SERVICES, OTHERS"
4419,Finatext Holdings Ltd.,Information & Communication,"IT & SERVICES, OTHERS"
441A,NE Inc.,Information & Communication,"IT & SERVICES, OTHERS"
4420,"eSOL Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
4421,"D.I.System Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
4422,VALUENEX Japan Inc.,Information & Communication,"IT & SERVICES, OTHERS"
